fn_type,concurrency,avg_exec_time,avg_entry_total_time,total_offload_count,min_exec_time,max_exec_time,offload_count,max_entry_time,min_entry_time,avg_cpu_usage,avg_mem_usage_MB,total_cpu_usage,total_mem_usage_MB,samples
basic,1,0.05085716366767883,0.28283029,0,0.04556584358215332,0.1150214672088623,0,0.346636,0.242148,9.716720472089337,985.7543402777778,58.300322832536025,5914.526041666667,200
basic,2,0.08701961040496826,0.43694490750000015,79,0.04546642303466797,0.17278814315795898,76,1.41918,0.24096,23.797171060923972,987.3419596354166,142.78302636554383,5924.0517578125,400
basic,3,0.0915757425626119,0.502911206666667,224,0.04539155960083008,0.22956132888793945,211,1.566367,0.236174,32.16911887581932,989.5188078703703,193.01471325491593,5937.112847222222,600
basic,4,0.10038654506206512,0.5477503837500008,342,0.04556608200073242,0.2491614818572998,317,1.619694,0.235178,38.88333088571542,993.0635850694445,233.29998531429248,5958.381510416667,800
basic,5,0.09806001305580139,0.6689436170000002,739,0.04548072814941406,0.262601375579834,639,2.051039,0.233856,48.42357428194873,990.5329663825756,290.5414456916924,5943.197798295454,1000
basic,6,0.10345432579517365,0.7019658566666664,942,0.04537487030029297,0.31200075149536133,829,1.855282,0.234576,25.08695791218321,988.9396306818184,150.52174747309925,5933.63778409091,1200
basic,7,0.11337367704936437,0.7266012292857135,1174,0.04547548294067383,0.31452322006225586,974,1.960227,0.234587,27.2749648603894,988.636935763889,163.6497891623364,5931.821614583334,1400
basic,8,0.11046870052814484,0.7844217412500007,1502,0.0451350212097168,0.3868589401245117,1179,2.0823,0.234469,37.92909170546837,994.9580829326923,227.57455023281022,5969.748497596153,1600
basic,9,0.1125709523095025,0.7898089461111106,1766,0.045387983322143555,0.4366469383239746,1298,2.308974,0.232792,5.170079434273229,989.2244591346154,31.020476605639374,5935.346754807692,1800
basic,10,0.1120958137512207,0.8521992690000002,2253,0.04554915428161621,0.5175092220306396,1638,2.151963,0.235671,5.071799070166082,986.172125400641,30.430794420996495,5917.032752403846,2000
basic,11,0.12089715274897489,0.9146182945454552,2623,0.04531240463256836,0.5694589614868164,1808,2.32654,0.233981,5.048139731725021,984.833767361111,30.288838390350126,5909.002604166666,2200
basic,12,0.1208409109711647,1.0118307383333336,3441,0.04546189308166504,0.5723974704742432,2015,2.385906,0.237249,5.119415411564453,985.4044596354166,30.71649246938672,5912.4267578125,2400
basic,13,0.12338509486271784,0.9888087803846156,3599,0.04554939270019531,0.6561999320983887,2129,2.496032,0.232361,5.366720560044033,985.1153645833333,32.2003233602642,5910.6921875,2600
basic,14,0.13169513285160064,1.0430571164285718,4140,0.04518771171569824,0.684699296951294,2299,2.485848,0.229125,5.6312494929956545,985.5818684895834,33.78749695797393,5913.4912109375,2800
basic,15,0.13817884357770285,1.0769083753333335,4560,0.045403242111206055,0.5830223560333252,2571,2.866633,0.231831,5.805547708832639,985.1707356770834,34.83328625299583,5911.0244140625,3000
data_local,1,0.3000034737586975,0.660014215,0,0.27972865104675293,0.43022632598876953,0,0.845949,0.599305,5.86767988634476,985.1294981060606,35.20607931806856,5910.776988636364,200
data_local,2,0.3654053884744644,0.7890876674999996,25,0.2748115062713623,2.647418737411499,24,4.059149,0.595326,6.495403975343429,987.6826171875,38.97242385206057,5926.095703125,400
data_local,3,0.6267509905497233,1.1459686800000002,184,0.27167320251464844,3.3454463481903076,178,4.716175,0.589835,5.154323653750333,986.0240885416666,30.925941922502,5916.14453125,600
data_local,4,0.7591759949399713,1.3479275776942357,362,0.2723851203918457,3.330996513366699,345,4.729115,0.59071,5.162200311874037,1004.8839518229166,30.97320187124422,6029.3037109375,800
data_local,5,0.7843349471583858,1.3839006776776783,461,0.27518701553344727,4.087558031082153,427,5.432696,0.586563,28.329064661467218,992.6497099905304,169.9743879688033,5955.898259943182,1000
data_local,6,0.8938966304063797,1.5557300666666662,668,0.2763032913208008,3.4372551441192627,604,4.645373,0.581487,53.779840091170506,1055.1908401268117,322.679040547023,6331.14504076087,1200
data_local,7,0.9781016253675198,1.67771581343817,953,0.2785353660583496,3.434460163116455,844,4.813149,0.594967,13.83157704104831,982.6302083333334,82.98946224628986,5895.78125,1400
data_local,8,1.0366728017503457,1.7791215563909775,1240,0.28050756454467773,3.8984131813049316,1022,5.193748,0.593947,5.161353688514761,964.8340084876544,30.968122131088563,5789.004050925926,1600
data_local,9,1.072656592288585,1.8364182666294022,1389,0.2795126438140869,3.876455545425415,1152,5.247158,0.589714,5.130437439676964,964.700569058642,30.782624638061783,5788.203414351852,1800
data_local,10,1.2074561164813593,2.030420499747604,1821,0.27965784072875977,4.1052234172821045,1458,5.470348,0.60047,24.445533252755663,975.581758232527,146.67319951653397,5853.490549395162,2000
data_local,11,1.2113665523346406,2.056166978568172,2184,0.279463529586792,4.125640392303467,1620,5.398453,0.599158,5.246595189848752,970.1789734543012,31.47957113909251,5821.073840725807,2200
data_local,12,1.2402474737804734,2.115616007518789,2493,0.2789921760559082,3.8549070358276367,1829,5.187162,0.607651,20.69967371221481,971.5954996744791,124.19804227328886,5829.572998046875,2400
data_local,13,1.3090434184157411,2.244350023597674,3042,0.2782750129699707,4.122557640075684,2066,5.49479,0.599749,36.83092754979328,972.1702769886364,220.9855652987597,5833.021661931818,2600
data_local,14,1.3389639130262572,2.3553186146657112,3806,0.27863025665283203,4.189745903015137,2313,5.460417,0.606267,49.4874075855146,973.7628484987745,296.9244455130876,5842.577090992647,2800
data_local,15,1.3693302622866093,2.397823273155946,4095,0.28318142890930176,4.1068174839019775,2444,5.493338,0.592262,67.74444642412392,978.2878689236112,406.4666785447435,5869.727213541667,3000
dag,1,0.0026054799556732176,0.28318585499999993,0,0.0023555755615234375,0.005473613739013672,0,0.381535,0.241687,42.27136009115887,976.7144531250001,253.6281605469532,5860.286718750001,200
dag,2,0.002811964750289917,0.28181436000000004,1,0.0023839473724365234,0.07498764991760254,1,0.833039,0.235561,82.33117184968812,978.2174479166666,493.98703109812874,5869.3046875,400
dag,3,0.0029077529907226562,0.31649109999999975,33,0.002374887466430664,0.014907598495483398,33,0.914905,0.23005,74.87974791430763,976.0454644097223,449.2784874858458,5856.272786458334,600
dag,4,0.0035614654421806335,0.39950548874999975,156,0.002361297607421875,0.02641129493713379,154,0.972401,0.234017,91.56174521107035,985.4586123511905,549.3704712664221,5912.751674107143,800
dag,5,0.0036727235317230225,0.47990182600000014,399,0.0023627281188964844,0.019023895263671875,394,1.365736,0.237156,63.88565811355394,982.6112467447916,383.3139486813236,5895.66748046875,1000
dag,6,0.004239719708760579,0.5511487833333342,680,0.002348661422729492,0.06559395790100098,640,1.591441,0.234541,91.88754424533573,989.523220486111,551.3252654720144,5937.139322916666,1200
dag,7,0.0036693200043269565,0.545237444285714,806,0.0023603439331054688,0.019187450408935547,773,1.589237,0.228833,71.00359900470589,982.3651620370371,426.0215940282353,5894.190972222223,1400
dag,8,0.004014223366975784,0.6431764674999996,1343,0.0023527145385742188,0.03340935707092285,1167,1.602188,0.233544,91.05262466562561,985.0804924242424,546.3157479937537,5910.482954545454,1600
dag,9,0.0041701540682050914,0.6124984316666654,1283,0.002366781234741211,0.03228020668029785,1150,1.588868,0.232274,19.52890847310864,990.8687500000001,117.17345083865185,5945.212500000001,1800
dag,10,0.003803092122077942,0.6398948879999998,1654,0.0023534297943115234,0.04061460494995117,1491,1.600417,0.233662,25.931263227006085,1004.5564630681816,155.5875793620365,6027.33877840909,2000
dag,11,0.004066077795895663,0.6223982663636358,1664,0.0023336410522460938,0.06325483322143555,1453,1.633569,0.234826,28.608899619165076,1013.3707682291666,171.65339771499046,6080.224609375,2200
dag,12,0.004023195703824361,0.6434860516666673,1960,0.0023708343505859375,0.061708688735961914,1684,1.58626,0.231152,26.462534091110204,1014.9137073863635,158.77520454666123,6089.482244318181,2400
dag,13,0.004302114248275757,0.6782270107692276,2301,0.0023522377014160156,0.029265642166137695,1932,1.605824,0.233636,40.1091383694752,1052.2160274621212,240.6548302168512,6313.296164772728,2600
dag,14,0.004395972064563206,0.6693291296428586,2361,0.002373933792114258,0.07736515998840332,1976,1.636474,0.230942,33.713120288106566,1030.1165956439395,202.2787217286394,6180.699573863637,2800
dag,15,0.0041307639280955,0.7262081019999989,3127,0.002355337142944336,0.0639808177947998,2449,1.625611,0.237681,46.138879269498354,1027.667263454861,276.83327561699014,6166.003580729167,3000
