fn_type,concurrency,avg_exec_time,avg_entry_total_time,total_offload_count,min_exec_time,max_exec_time,offload_count,max_entry_time,min_entry_time,avg_cpu_usage,avg_mem_usage_MB,total_cpu_usage,total_mem_usage_MB,samples
basic,1,0.05412243843078613,0.26545515000000014,0,0.04541492462158203,0.33399057388305664,0,1.879344,0.148958,36.08577420619233,1000.6213107638888,216.514645237154,6003.727864583333,100
basic,2,0.06536179780960083,0.25663082000000004,0,0.04548931121826172,0.12118148803710938,0,0.442235,0.138331,46.763001980510204,1002.3326822916666,280.5780118830612,6013.99609375,200
basic,3,0.08516812006632488,0.29100680000000023,0,0.04546403884887695,0.18677496910095215,0,0.514197,0.14005,70.63703703703406,1012.8051215277778,423.82222222220435,6076.830729166667,300
basic,4,0.09407023131847382,0.3110586474999999,0,0.04572606086730957,0.2236027717590332,0,0.564626,0.13733,51.40004697081938,1001.6163194444443,308.4002818249163,6009.697916666666,400
basic,5,0.11216079664230347,0.35059749200000007,0,0.04576849937438965,0.2715873718261719,0,0.621065,0.140775,50.52805018851384,1017.4186197916666,303.168301131083,6104.51171875,500
basic,6,0.1289278221130371,0.39722925999999986,0,0.04610943794250488,0.4238440990447998,0,0.76715,0.140771,79.30668326367994,992.2013346354166,475.84009958207963,5953.2080078125,600
basic,7,0.1476511584009443,0.4434873271428571,0,0.045923471450805664,0.36829161643981934,0,0.986109,0.138453,37.52748323132062,990.0167643229166,225.16489938792375,5940.1005859375,700
basic,8,0.16373328119516373,0.48830852250000056,0,0.04631543159484863,0.360306978225708,0,0.906551,0.144243,79.18818158572219,998.1209635416667,475.12908951433315,5988.72578125,800
basic,9,0.17659786515765719,0.5166847666666669,0,0.04623723030090332,0.506439208984375,0,0.94031,0.139822,44.772864802903065,998.4608072916667,268.6371888174184,5990.76484375,900
basic,10,0.1952443561553955,0.5678883459999992,0,0.04673051834106445,0.42283201217651367,0,1.061604,0.143296,80.74579618824832,1001.8044270833333,484.47477712948995,6010.826562499999,1000
basic,11,0.21726023283871737,0.6266742009090897,0,0.04594540596008301,0.45847392082214355,0,1.125867,0.141113,50.14840127978235,993.6705729166666,300.8904076786941,5962.0234375,1100
basic,12,0.22714505811532337,0.6452207041666672,0,0.04605460166931152,0.5426881313323975,0,1.15781,0.146226,87.82344134171164,1009.552734375,526.9406480502698,6057.31640625,1200
basic,13,0.24590292527125432,0.6967145546153842,0,0.045922279357910156,0.5405669212341309,0,1.297681,0.138163,58.99422459551931,1013.9448784722222,353.9653475731159,6083.669270833333,1300
