fn_type,concurrency,avg_exec_time,avg_entry_total_time,total_offload_count,min_exec_time,max_exec_time,offload_count,max_entry_time,min_entry_time,avg_cpu_usage,avg_mem_usage_MB,total_cpu_usage,total_mem_usage_MB,samples
basic,1,0.04898733615875244,0.6076272349999999,0,0.04558110237121582,0.09939217567443848,0,0.745728,0.524622,98.85112750515127,1027.3533854166667,593.1067650309076,6164.1203125,200
basic,2,0.06134386360645294,0.6243510225000004,0,0.04532432556152344,0.13491034507751465,0,0.824516,0.492887,109.11420813582286,1034.4596354166665,654.6852488149372,6206.757812499999,400
basic,3,0.07424071351687113,0.6596178300000007,0,0.04521965980529785,0.17814922332763672,0,0.96703,0.495713,32.20959792442071,1035.4379142992423,193.2575875465243,6212.627485795454,600
basic,4,0.08038150817155838,0.67227676,4,0.04532194137573242,0.19675588607788086,4,1.713228,0.488945,26.769693317983627,1037.429569128788,160.61815990790177,6224.577414772728,800
basic,5,0.0947331166267395,0.7391100620000003,43,0.045197486877441406,0.2819666862487793,43,1.781006,0.488814,33.650016894280164,1050.111599392361,201.900101365681,6300.669596354167,1000
basic,6,0.0952913365761439,0.7872405658333328,115,0.04534554481506348,0.2750856876373291,115,2.037027,0.492408,36.86417104816484,1047.9934895833333,221.18502628898906,6287.9609375,1200
basic,7,0.10366226894514902,0.8329858949999993,178,0.04554104804992676,0.28833508491516113,178,1.952548,0.487097,41.97003178318359,1050.0578926282049,251.82019069910157,6300.34735576923,1400
basic,8,0.1089028625190258,0.8726004600000007,251,0.04555559158325195,0.3190937042236328,251,2.03915,0.482356,47.07566311170874,1065.5542224702378,282.45397867025247,6393.3253348214275,1600
basic,9,0.11726123929023742,0.9170442138888902,334,0.045493364334106445,0.35895252227783203,334,2.002776,0.490574,50.236465189979945,1059.2014322916666,301.41879113987966,6355.20859375,1800
basic,10,0.11939928662776947,0.9588205895000013,451,0.04521656036376953,0.4201686382293701,451,2.088633,0.487303,54.13135486976852,1064.514800347222,324.7881292186111,6387.088802083333,2000
basic,11,0.12612794290889393,0.9954145350000015,548,0.04577136039733887,0.3792998790740967,548,2.169793,0.493455,61.72209819092674,1077.4186197916667,370.3325891455604,6464.51171875,2200
basic,12,0.13024311582247416,1.037407746666665,687,0.04563450813293457,0.4036693572998047,687,2.301656,0.493504,62.24683670503219,1078.5136311848958,373.4810202301931,6471.081787109375,2400
basic,13,0.13794620532255905,1.0571179819230778,765,0.04576396942138672,0.4858672618865967,765,2.340391,0.483656,66.94263966824515,1096.7701822916667,401.6558380094709,6580.62109375,2600
basic,14,0.1413914908681597,1.095251083214283,905,0.04555153846740723,0.5452044010162354,905,2.400697,0.49378,74.38191453764834,1086.0244332107843,446.2914872258901,6516.146599264706,2800
basic,15,0.14632785232861836,1.1188850779999981,1017,0.045464515686035156,0.5397157669067383,1017,2.483475,0.483483,72.5949591770336,1086.148016237745,435.5697550622016,6516.88809742647,3000
data_local,1,0.4154793572425842,1.08245775,0,0.27804994583129883,0.7998411655426025,0,1.556845,0.872505,73.90920674768859,1093.7529296875,443.4552404861315,6562.517578125,200
data_local,2,0.43448359370231626,1.1191206600000008,0,0.2733762264251709,0.8808395862579346,0,1.672946,0.863378,84.47253589100318,1111.1268765318628,506.835215346019,6666.761259191177,400
data_local,3,0.4791901723543803,1.177090775,0,0.27585291862487793,1.2313952445983887,0,1.954612,0.865694,81.1588867970751,1098.582320601852,486.9533207824506,6591.493923611111,600
data_local,4,0.5208546525239944,1.2436262249999996,3,0.27219676971435547,2.6744911670684814,3,4.359685,0.861081,86.28194285932777,1105.0026041666667,517.6916571559666,6630.015625,800
